url,title,page_type,word_count,reading_difficulty,num_images,num_links,content_categories,key_phrases
https://www.mosdac.gov.in,Meteorological & Oceanographic Satellite Data Archival Centre,home,5347,32.6785102108318,37,133,"commerce, services","forecast, wave, heavy, rain, state"
https://www.mosdac.gov.in/internal/registration,Welcome to MOSDAC,registration,1000,-247.10477364185107,4,3,,"republic, one, name, character, number"
https://www.mosdac.gov.in/internal/uops,Log in to MOSDAC Single Sign ON,login,155,46.46379032258068,0,5,,"password, english, forgot, username, email"
https://www.mosdac.gov.in/internal/logout,MOSDAC SSO Logout,logout,67,42.77578358208956,0,1,,"mosdac, space, एसएसओ, sso, owned"
https://www.mosdac.gov.in/,Meteorological & Oceanographic Satellite Data Archival Centre,home,5347,32.6785102108318,37,133,"commerce, services","forecast, wave, heavy, rain, state"
https://www.mosdac.gov.in/insat-3dr,INSAT-3DR | Meteorological & Oceanographic Satellite Data Archival Centre,data,4000,4.318284216178654,12,99,"commerce, services","data, system, satellite, processing, india"
https://www.mosdac.gov.in/insat-3d,INSAT-3D | Meteorological & Oceanographic Satellite Data Archival Centre,data,3730,0.18786008948382005,12,99,"commerce, services","data, system, satellite, processing, india"
https://www.mosdac.gov.in/kalpana-1,KALPANA-1 | Meteorological & Oceanographic Satellite Data Archival Centre,data,4270,8.977373254491255,12,98,"commerce, services","data, satellite, metsat, orbit, weather"
https://www.mosdac.gov.in/insat-3a,INSAT-3A | Meteorological & Oceanographic Satellite Data Archival Centre,data,4900,12.954644556069013,12,98,"commerce, services","satellite, carry, transponder, resolution, data"
https://www.mosdac.gov.in/megha-tropiques,Megha Tropiques | Meteorological & Oceanographic Satellite Data Archival Centre,data,3182,-2.404168273957083,12,99,"commerce, services","water, cycle, tropical, atmosphere, mission"
